name,rank,length,tuition
"Massachusetts Institute of Technology,Cambridge",1,12 months,"$87,600"
"University of California,Berkeley",2,1 year,"$27,366"
"University of Chicago,Chicago",3,2 years,"$57,105"
"University of Pennsylvania,Philadelphia",4,2 years,"$84,874"
"Columbia University,New York City",5,1 year,"$33,932"
"University of California,Los Angeles",6,15 months,"$33,238"
"University of Washington,Seattle",7,1 year,"$32,511"
"New York University,New York City",8,1 year,"$54,516"
"University of California,San Diego",9,1 year,"$15,102"
"University of Texas,Austin",10,10 months,"$19,786"
"University of California,Davis",11,1 year,"$48,636"
"University of Wisconsin,Madison",12,1 year,"$52,188"
"Washington University,St. Louis",13,18 months,"$54,014"
"University of Southern California,Los Angeles",14,2 years,"$22,320"
"Boston University,Boston",15,16 months,"$63,798"
"University of Minnesota - Twin Cities,Minneapolis",16,1 year,"$37,640"
"Purdue University,West Lafayette",17,12 months,"$18,802"
"University of California,Irvine",18,1 year,"$33,238"
"Emory University,Atlanta",19,10 months,"$59,920"
"University of Maryland,College Park",20,2 years,"$27,075"
"Michigan State University,East Lansing",21,1 year,"$29,904"
"Pennsylvania State University,State College",22,1 year,"$42,151"
"University of Massachusetts,Amherst",23,1 year,"$12,410"
"University of Rochester,Rochester",24,3 years,"$59,100"
"University of Colorado,Boulder",25,10 months,"$34,728"
"University of Arizona,Tucson",26,16 months,"$33,960"
"Case Western Reserve University,Cleveland",27,16 months,"$26,180"
"University of Virginia,Charlottesville",28,1 year,"$43,500"
"Arizona State University,Tempe",29,9 months,"$28,890"
"Georgetown University,Washington",30,16 months,"$59,895"
"Indiana University,Bloomington",31,2 years,"$27,113"
"University of Notre Dame,Notre Dame",32,1 year,"$63,500"
"Northeastern University,Boston",33,1 year,"$52,650"
"University of Illinois,Chicago",34,2 years,"$25,990"
"University of Miami,Coral Gables",35,2 years,"$50,841"
"University of Iowa,Iowa City",36,1 year,"$18,780"
"University of Utah,Salt Lake City",37,2 years,"$45,000"
"George Washington University,Washington",38,16 months,"$58,950"
"University of California,Riverside",39,2 years,"$60,987"
"Florida State University,Tallahassee",40,1 year,"$33,300"
"University of South Florida,Tampa",41,1 year,"$15,863"
"University of Tennessee,Knoxville",42,10 months,"$16,054"
"Drexel University,Philadelphia",43,18 months,"$41,880"
"Iowa State University,Ames",44,15 months,"$31,141"
"University of Georgia,Athens",45,1 year,"$24,630"
"University of Colorado,Denver",46,2 years,"$19,848"
"University of Kansas,Lawrence",47,2 years,"$18,862"
"Temple University,Philadelphia",48,1 year,"$34,950"
"University of Texas Dallas,Richardson",49,2 years,"$16,412"
"University of Connecticut,Storrs",50,2 years,"$40,746"
"Stevens Institute of Technology, Hoboken",51, 2 years,"$42,988"
"University of Delaware, Newark",52, 1 year,"$30,840"
