name,rank,length,tuition
New York University (NYU) - Stern School of Business,1,N/A,N/A
University of Southern California (USC) - Marshall School of Business,2,N/A,N/A
MIT Sloan School of Management,3,9 months,"65,750"
Carnegie Mellon University (CMU) - Tepper School of Business,4,N/A,N/A
University of Michigan - Ross School of Business,5,10 months,"64,063"
Cornell University - Johnson Graduate School of Management,6,12 months,"29,500"
Northeastern University - D'Amore-McKim School of Business,7,N/A,N/A
Pace University - Lubin School of Business,8,N/A,N/A
"University of California, Los Angeles (UCLA) - Anderson School of Management",9,15 months,"85,276"
University of San Diego (USD) - School of Business Administration,10,N/A,N/A
Duke University Fuqua School of Business,11,10 months,"62,200"
University of Massachusetts Boston (UMass Boston) - College of Management,12,N/A,N/A
University of Washington (Seattle) - Foster School of Business,13,N/A,N/A
University of Illinois at Chicago (UIC),14,N/A,N/A
Boston University (BU) Questrom School of Business,15,9 months,"63,798"
Georgetown University - McDonough School of Business,16,N/A,N/A
Georgia State University - Robinson College of Business,17,N/A,N/A
San Francisco State University - College of Business,18,N/A,N/A
Arizona State University (ASU) - W. P. Carey School of Business,19,N/A,N/A
Penn State - Smeal College of Business,20,N/A,N/A
University of Texas at Austin (UT Austin) - McCombs School of Business,21,12 months,"45,000"
New York Institute of Technology (NYIT) - School of Management,22,N/A,N/A
"University of California, Davis - Graduate School of Management",23,N/A,N/A
Pepperdine University - Graziadio School of Business and Management,24,N/A,N/A
University of Maryland - Smith School of Business,25,12 months,"62,160"
University of Pittsburgh - Katz Graduate School of Business,26,9 months,"44,252"
The University of Texas at Dallas - Jindal School of Management,27,N/A,N/A
Rochester Institute of Technology (RIT) - Saunders College of Business,28,N/A,N/A
University of Virginia - McIntire School of Commerce,29,N/A,N/A
"University of California, Irvine - Merage School of Business",30,12 months,"45,999"
George Washington University - GW School of Business,31,N/A,N/A
Michigan State University - Broad Graduate School of Management,32,12 months,"39,000"
University of Miami School of Business,33,N/A,N/A
Wake Forest University - School of Business,34,N/A,N/A
University of Georgia (UGA) - Terry College of Business,35,N/A,N/A
University of Houston - Bauer College of Business,36,N/A,N/A
Purdue University - Krannert School of Management,37,N/A,N/A
Indiana University (IU) - Kelley School of Business,38,12 months,"53,533"
Ohio State University - Fisher College of Business,39,10 months,"56,778"
Southern Methodist University (SMU) - Cox School of Business,40,N/A,N/A
North Carolina State University (NCSU) - Poole College of Management,41,N/A,N/A
University of Notre Dame - Mendoza College of Business,42,11 months,"50,880"
California State University - East Bay,43,12 months,"24,915"
University of South Florida (USF) - College of Business Administration,44,N/A,N/A
Hult International Business School,45,12 months,"55,000"
Santa Clara University - Leavey School of Business,46,N/A,N/A
Syracuse University - Whitman School of Management,47,N/A,N/A
Loyola University Chicago - Quinlan School of Business,48,N/A,N/A
Temple University - Fox School of Business and Management,49,18 months,"34,950"
Fordham University - Gabelli School of Business,50,N/A,N/A
The University of Tennessee at Knoxville - Haslam College of Business,51,N/A,N/A
University of Minnesota - Carlson School of Management,52,N/A,N/A
Suffolk University - Sawyer Business School,53,21 months,"50,778"
George Mason University - School of Business,54,11 months,"56,001"
University of Texas at San Antonio - College of Business,55,N/A,N/A
"University of Wisconsin, Madison - Wisconsin School of Business",56,N/A,N/A
Bentley University - McCallum Graduate School of Business,57,N/A,N/A
Johns Hopkins University - Carey Business School,58,24 months,"64,800"
University of Rochester - Simon Graduate School of Business Administration,59,10 months,"85,500"
Hofstra University - Zarb School of Business,60,N/A,N/A
Baylor University - Hankamer School of Business,61,N/A,N/A
Ohio University - College of Business,62,N/A,N/A
University of Iowa - Tippie College of Business,63,N/A,N/A
Cincinnati University - Carl H. Lindner College of Business,64,N/A,N/A
Tulane University - Freeman School of Business,65,N/A,N/A
Rensselaer Polytechnic Institute - Lally School of Management and Technology,66,N/A,N/A
University of Utah - David Eccles School of Business,67,N/A,N/A
Emory University - Goizueta Business School,68,10 months,"74,200"
The University of Arizona - Eller College of Management,69,N/A,N/A
Texas Christian University (TCU) - Neeley School of Business,70,18 months,"62,550"
American University - Kogod School of Business,71,N/A,N/A
Brandeis University - International Business School (IBS),72,16 months,"85,548"
The University of Alabama - Manderson Graduate School - Culverhouse College of Business,73,N/A,N/A
College of William & Mary - Mason School of Business,74,12 months,"36,000"
Kent State University,75,N/A,N/A
The University of Chicago Booth School of Business,76,10 months,"65,000"
University of South Carolina - Moore School of Business,77,N/A,N/A
